Entry,Part of Speech,Family Member(s),Family PoS,Meaning,Rec/Prod
navy,n,,,,Prod
neat,adj,,,,Rec
necessarily,adv,,,,Prod
neither ... nor,,,,,Rec
nevertheless,adv,,,,Prod
next door,,,,,Prod
nightmare,n,,,,Prod
nonsense,n,,,,Prod
not at all,,,,,Prod
not believe / understand / hear / say etc. a word,,,,,Prod
not believe your eyes/ears,,,,,Prod
not only,,,,,Prod
not until,,,,,Prod
notice,n,,,advanced warning,Prod
nut,n,peanut,n,,Prod
objective,n,,,aim; purpose,Rec
occasional,adj,occasionally,adv,,Prod
occupation,n,,,,Rec
occupy,v,occupied,adj,fill or use a place or period of time,Rec
off,adv,off,,price reduction; not at work,Rec
offense,n,,,crime,Rec
official,adj,,,,Prod
oil,n,,,fuel,Prod
on a diet,,,,,Prod
on board,,,,,Prod
on display,,,,,Rec
on duty/off duty,,,,,Rec
on the one hand ... on the other hand,,,,,Rec
on the whole,,,,,Rec
once,conj,,,as soon as,Rec
open,v,opening,n,start officially,Prod
operate,v,operation,n,surgery,Prod
or so,,,,,Prod
orchestra,n,,,,Prod
organ,n,,,,Rec
organic,adj,,,,Rec
organization,n,,,arrangement,Rec
others,pron,,,people in general,Prod
otherwise,"conj, adv",,,,Rec
out-of-date,,old-fashioned,,,Rec
outstanding,adj,,,,Rec
pace,n,,,,Prod
pack,n,,,,Rec
painful,adj,painless,adj,,Rec
pale,adj,,,,Rec
participate,v,"participant; participation","n; n",,Prod
particular,adj,particularly,adv,,Prod
partner,n,partnership,n,business; team member,Rec
part-time,,,,,Prod
passage,n,,,connecting way (e.g. hallway tunnel),Rec
past,adj,,,before now,Rec
patient,adj,patience,n,,Rec
pause,n,,,,Rec
pavement,n,,,,Prod
peaceful,adj,,,,Rec
peak,n,,,,Rec
peculiar,adj,,,,Rec
penalty,n,,,,Prod
perform,v,performance,n,"carry out action; how successful someone/something is",Rec
personality,n,,,,Prod
personally,adv,,,own opinion; not someone else,Rec
pill,n,,,,Prod
pin,n,,,,Prod
pity,n,,,,Prod
place,n,,,at university; in race or competition,Prod
planet,n,,,,Prod
planning,n,planned,adj,,Prod
plant,v,,,,Rec
plot,n,,,,Prod
point,n,,,particular time/place,Prod
point,v,,,to hold something so that it faces towards someone or something,Rec
point of view,,,,,Rec
policy,n,,,,Rec
pollution,n,pollute,v,,Rec
popular,adj,,,general; widespread,Rec
population,n,,,,Rec
position,n,,,rank; part someone plays in game (e.g. football),Rec
position,n,,,situation; usually no plural; the situation someone is in,Rec
potential,n,potentially,adv,,Rec
pour,v,,,rain,Prod
powder,n,,,,Prod
pray,v,prayer,,,Prod
preference,n,,,,Rec
pregnant,adj,pregnancy,n,,Rec
preposition,n,,,,Rec
present,v,,,give formally,Prod
pressure,n,,,,Rec
prevent,v,prevention,n,,Rec
pride,n,,,,Rec
priest,n,,,,Prod
prime,adj,primary,adj,,Prod
principal,"adj, n",,,main; head of school,Rec
priority,n,,,,Rec
private,adj,,,controlled or paid for by a person or company and not the government,Rec
probable,adj,,,,Prod
produce,v,producer,n,make film/TV,Rec
profession,n,professional,adj,"program work; skilled",Prod
professor,n,,,,Rec
promote,v,promotion,n,"job; increase rank",Prod
proof,n,,,,Prod
propose,v,proposal,n,suggest marriage,Rec
proposed,adj,,,suggested,Rec
protest,"n, v",,,demonstrate about/against/at,Prod
provided (that),,,,something,Rec
psychology,n,"psychological; psychologist","adj; n",,Prod
public,adj,publicly,adv,belonging to government,Rec
pump,"n, v",,,,Prod
punish,v,punishment,n,,Prod
purpose,n,,,intention,Rec
put up with sth/sb,,,,,Rec
quality,n,,,characteristic,Rec
"quarrel","n, v",,,,
question,v,,,ask; interrogate,Rec
question,n,,,problem; issue,Prod
questionnaire,n,,,,Rec
queue,n,,,,Prod
quit,v,,,,Prod
race,n,racial,adj,ethnic group,Rec
racket,n,,,sport,Prod
rainbow,n,,,,Rec
range,n,,,mountains,Rec
raw,adj,,,,Rec
reach,"v, n",,,stretch and touch,Prod
react,v,reaction,n,"respond; response",Prod
reason,n,reasonable,adj,fair and showing good judgement,Prod
reasonably,adv,,,price,Rec
reassure,v,,,,Rec
recommend,v,recommendation,n,,Rec
record,"v, n",,,store information,Rec
recycle,v,,,,Rec
reflect,v,reflection,n,image in mirror,Rec
refund,"n, v",,,,Rec
regard,"v, n",regarding; regardless,prep; adv,consider,Prod
regards,n,,,,Prod
region,n,regional,adj,,Prod
register,"n, v",registration,n,,Prod
regret,"v, n",,,,Prod
regular,adj,,,normal,Prod
relate,v,"related; relationship; relative; relative importance","adj; n; adj",connect,Prod
relax,v,relaxed,adj,,Prod
relevant,adj,relevance,n,,Prod
reliable,adj,,,,Rec
rely on/upon sb/sth,,,,,Rec
remain calm/open etc,,,,,Rec
remark,"v, n",,,comment,Prod
remote,adj,,,,Prod
replace,v,replacement,n,,Prod
republic,n,,,,Rec
request,"n, v",,,,Rec
rescue,"v, n",,,,Prod
research,"v, n",researcher,n,,Prod
reserve,v,reservation,n,,Rec
resort,n,resort,,,Prod
respect,"v, n",respectable,,,Rec
